PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Davies, Hayden B.; White, David J.								Specializations in cognition generalize across contexts: cowbirds are consistent in nest prospecting and foraging tasks								ANIMAL BEHAVIOUR				144				1	7		10.1016/j.anbehav.2018.07.019			OCT 2018	2018										0							WOS:000446232300002		
J	Cole, Gemma L.; Endler, John A.								Courtship diverges with foraging behaviour in artificially selected populations								ANIMAL BEHAVIOUR				144				9	15		10.1016/j.anbehav.2018.07.016			OCT 2018	2018										0							WOS:000446232300003		
J	Szabo, Birgit; Noble, Daniel W. A.; Byrne, Richard W.; Tait, David S.; Whiting, Martin J.								Subproblem learning and reversal of a multidimensional visual cue in a lizard: evidence for behavioural flexibility?								ANIMAL BEHAVIOUR				144				17	26		10.1016/j.anbehav.2018.07.018			OCT 2018	2018										0							WOS:000446232300004		
J	Piza-Roca, Carme; Strickland, Kasha; Schoeman, David; Frere, Celine H.								Eastern water dragons modify their social tactics with respect to the location within their home range								ANIMAL BEHAVIOUR				144				27	36		10.1016/j.anbehav.2018.08.001			OCT 2018	2018										0							WOS:000446232300005		
J	Olzer, Rachel; Zuk, Marlene								Obligate, but not facultative, satellite males prefer the same male sexual signal characteristics as females								ANIMAL BEHAVIOUR				144				37	43		10.1016/j.anbehav.2018.07.014			OCT 2018	2018										0							WOS:000446232300006		
J	Peer, Brian D.; McCleery, Robert A.; Jensen, William E.								Resistance is futile: prohibitive costs of egg ejection in an obligate avian brood parasite host								ANIMAL BEHAVIOUR				144				45	51		10.1016/j.anbehav.2018.08.002			OCT 2018	2018										0							WOS:000446232300007		
J	Smithers, Samuel P.; Rooney, Rebecca; Wilson, Alastair; Stevens, Martin								Rock pool fish use a combination of colour change and substrate choice to improve camouflage								ANIMAL BEHAVIOUR				144				53	65		10.1016/j.anbehav.2018.08.004			OCT 2018	2018										0							WOS:000446232300008		
J	Vidal, Annabelle; Perrot, Charlotte; Jasmin, Jean-Nicolas; Lartigau, Eva; Arnaud, Antoine; Cezilly, Frank; Bechet, Arnaud								Lateralization of complex behaviours in wild greater flamingos								ANIMAL BEHAVIOUR				144				67	74		10.1016/j.anbehav.2018.07.017			OCT 2018	2018										0							WOS:000446232300009		
J	Mirville, Melanie O.; Ridley, Amanda R.; Samedi, J. P. M.; Vecellio, Veronica; Ndagijimana, Felix; Stoinski, Tara S.; Grueter, Cyril C.								Factors influencing individual participation during intergroup interactions in mountain gorillas								ANIMAL BEHAVIOUR				144				75	86		10.1016/j.anbehav.2018.08.003			OCT 2018	2018										0							WOS:000446232300010		
J	Wu, Qijia; Wen, Lelei; Chen, Jian; Li, Daiqin; Jiao, Xiaoguo								Experimental evidence for the genetic benefits of female mate choice in the monandrous wolf spider Pardosa astrigera								ANIMAL BEHAVIOUR				144				87	93		10.1016/j.anbehav.2018.08.009			OCT 2018	2018										0							WOS:000446232300011		
J	O'Brien, Devin M.; Allen, Cerisse E.; Van Kleeck, Melissa J.; Hone, David; Knell, Robert; Knapp, Andrew; Christiansen, Stuart; Emlen, Douglas J.								On the evolution of extreme structures: static scaling and the function of sexually selected signals								ANIMAL BEHAVIOUR				144				95	108		10.1016/j.anbehav.2018.08.005			OCT 2018	2018										0							WOS:000446232300012		
J	Mahr, Katharina; Hoi, Herbert								Red-legged partridges perceive the scent of predators and alarm scents of an avian heterospecific								ANIMAL BEHAVIOUR				144				109	114		10.1016/j.anbehav.2018.08.008			OCT 2018	2018										0							WOS:000446232300013		
J	Suzaki, Yu; Kodera, Satoko; Fujiwara, Haruhi; Sasaki, Rikiya; Okada, Kensuke; Katsuki, Masako								Temperature variations affect postcopulatory but not precopulatory sexual selection in the cigarette beetle								ANIMAL BEHAVIOUR				144				115	123		10.1016/j.anbehav.2018.08.010			OCT 2018	2018										0							WOS:000446232300014		
J	Kikuchi, David W.; Dornhaus, Anna								How cognitive biases select for imperfect mimicry: a study of asymmetry in learning with bumblebees								ANIMAL BEHAVIOUR				144				125	134		10.1016/j.anbehav.2018.08.011			OCT 2018	2018										0							WOS:000446232300015		
J	Silva, Liliana R.; Lardy, Sophie; Ferreira, Andre C.; Rey, Benjamin; Doutrelant, Claire; Covas, Rita								Females pay the oxidative cost of dominance in a highly social bird								ANIMAL BEHAVIOUR				144				135	146		10.1016/j.anbehav.2018.08.006			OCT 2018	2018										0							WOS:000446232300016		
J	Murakami, Hisashi; Tomaru, Takenori; Gunji, Yukio-Pegio								Exclusive shift from path integration to visual cues during the rapid escape run of fiddler crabs								ANIMAL BEHAVIOUR				144				147	152		10.1016/j.anbehav.2018.08.012			OCT 2018	2018										0							WOS:000446232300017		
J	Goldenberg, Shifra Z.; Wittemyer, George								Orphaning and natal group dispersal are associated with social costs in female elephants								ANIMAL BEHAVIOUR				143				1	8		10.1016/j.anbehav.2018.07.002			SEP 2018	2018										0							WOS:000443386600001		
J	Thorley, Jack; Mendonca, Rute; Vullioud, Philippe; Torrents-Tico, Miquel; Zottl, Markus; Gaynor, David; Clutton-Brock, Tim								No task specialization among helpers in Damaraland mole-rats								ANIMAL BEHAVIOUR				143				9	24		10.1016/j.anbehav.2018.07.004			SEP 2018	2018										0							WOS:000443386600002		
J	Fisher, Kimberly A.; Stankowich, Theodore								Antipredator strategies of striped skunks in response to cues of aerial and terrestrial predators								ANIMAL BEHAVIOUR				143				25	34		10.1016/j.anbehav.2018.06.023			SEP 2018	2018										0							WOS:000443386600003		
J	Kahn, Zachary A.; Moser-Purdy, Christopher; Mennill, Daniel J.								Sing and do not stray: male rufous-and-white wrens use duets and physical behaviours to guard their mates								ANIMAL BEHAVIOUR				143				35	42		10.1016/j.anbehav.2018.07.00!			SEP 2018	2018										0							WOS:000443386600004		
J	Hemingway, Claire T.; Ryan, Michael J.; Page, Rachel A.								Cognitive constraints on optimal foraging in frog-eating bats								ANIMAL BEHAVIOUR				143				43	50		10.1016/j.anbehav.2018.07.007			SEP 2018	2018										0							WOS:000443386600005		
J	Matchette, Samuel R.; Cuthill, Innes C.; Scott-Samuel, Nicholas E.								Concealment in a dynamic world: dappled light and caustics mask movement								ANIMAL BEHAVIOUR				143				51	57		10.1016/j.anbehav.2018.07.003			SEP 2018	2018										0							WOS:000443386600006		
J	Haight, Kevin L.								Increased investment in the defence of high-value offspring by a superorganism								ANIMAL BEHAVIOUR				143				59	66		10.1016/j.anbehav.2018.07.008			SEP 2018	2018										0							WOS:000443386600007		
J	Nolazco, Sergio; Requena, Gustavo S.								Flexible compensation of uniparental care in an arachnid species: things are not always what they seem								ANIMAL BEHAVIOUR				143				67	81		10.1016/j.anbehav.2018.07.006			SEP 2018	2018										0							WOS:000443386600008		
J	Clark, Christopher J.								Signal or cue? Locomotion-induced sounds and the evolution of communication								ANIMAL BEHAVIOUR				143				83	91		10.1016/j.anbehav.2018.07.009			SEP 2018	2018										0							WOS:000443386600009		
J	Pitera, A. M.; Branch, C. L.; Bridge, E. S.; Pravosudov, V. V.								Daily foraging routines in food-caching mountain chickadees are associated with variation in environmental harshness								ANIMAL BEHAVIOUR				143				93	104		10.1016/j.anbehav.2018.07.011			SEP 2018	2018										0							WOS:000443386600010		
J	MacLeod, K. J.; Brouwer, L.								Social context-dependent provisioning rules in red-winged fairy-wrens do not vary with signals of increased chick need								ANIMAL BEHAVIOUR				143				105	111		10.1016/j.anbehav.2018.07.010			SEP 2018	2018										0							WOS:000443386600011		
J	Mair, Magdalena M.; Ruther, Joachim								Territoriality and behavioural strategies at the natal host patch differ in two microsympatric Nasonia species								ANIMAL BEHAVIOUR				143				113	129		10.1016/j.anbehav.2018.07.015			SEP 2018	2018										1							WOS:000443386600012		
J	Karpestam, Einat; Merilaita, Sami; Forsman, Anders								Size variability effects on visual detection are influenced by colour pattern and perceived size								ANIMAL BEHAVIOUR				143				131	138		10.1016/j.anbehav.2018.07.013			SEP 2018	2018										0							WOS:000443386600013		
J	Macedo, Regina H.; Podos, Jeffrey; Graves, Jeff A.; Manica, Lilian T.								Breeding clusters in birds: ecological selective contexts, mating systems and the role of extrapair fertilizations								ANIMAL BEHAVIOUR				143				145	154		10.1016/j.anbehav.2018.01.021			SEP 2018	2018										1							WOS:000443386600015		
J	Pruitt, Jonathan N.; Aviles, Leticia								Social spiders: mildly successful social animals with much untapped research potential								ANIMAL BEHAVIOUR				143				155	165		10.1016/j.anbehav.2017.08.015			SEP 2018	2018										3							WOS:000443386600016		
J	Webster, Michael S.; Ligon, Russell A.; Leighton, Gavin M.								Social costs are an underappreciated force for honest signalling in animal aggregations								ANIMAL BEHAVIOUR				143				167	176		10.1016/j.anbehav.2017.12.006			SEP 2018	2018										2							WOS:000443386600017		
J	Brockmann, H. Jane; St Mary, Colette M.; Ponciano, Jose Miguel								Discovering structural complexity and its causes: Breeding aggregations in horseshoe crabs								ANIMAL BEHAVIOUR				143				177	191		10.1016/j.anbehav.2017.10.020			SEP 2018	2018										1							WOS:000443386600018		
J	Solomon, Nancy G.; Keane, Brian								Dispatches from the field: sociality and reproductive success in prairie voles								ANIMAL BEHAVIOUR				143				193	203		10.1016/j.anbehav.2018.07.001			SEP 2018	2018										1							WOS:000443386600019		
J	Strong, Meghan J.; Sherman, Benjamin L.; Riehl, Christina								Home field advantage, not group size, predicts outcomes of intergroup conflicts in a social bird								ANIMAL BEHAVIOUR				143				205	213		10.1016/j.anbehav.2017.07.006			SEP 2018	2018										2							WOS:000443386600020		
