PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	ASH, JF; MCCLURE, WO; HIRSCH, J								CHEMICAL STUDIES OF A FACTOR WHICH ELICITS FEEDING BEHAVIOR IN DUGESIA-DOROTOCEPHALA								ANIMAL BEHAVIOUR				21	NOV			796	800		10.1016/S0003-3472(73)80106-X			1973	1973										9							WOS:A1973S026600019		
J	MESSENGER, JB								LEARNING IN CUTTLEFISH, SEPIA								ANIMAL BEHAVIOUR				21	NOV			801	826		10.1016/S0003-3472(73)80107-1			1973	1973										50							WOS:A1973S026600020		
J	CARTER, CS								STIMULI CONTRIBUTING TO DECREMENT IN SEXUAL RECEPTIVITY OF FEMALE GOLDEN-HAMSTERS (MESOCRICETUS-AURATUS)								ANIMAL BEHAVIOUR				21	NOV			827	834		10.1016/S0003-3472(73)80108-3			1973	1973										33							WOS:A1973S026600021		
J	PHILLIPS, RE								SEXUAL AND AGONISTIC BEHAVIOR IN KILLDEER (CHARADRIUS-VOCIFERUS)								ANIMAL BEHAVIOUR				20	FEB			1	&		10.1016/S0003-3472(72)80166-0			1972	1972										18							WOS:A1972N633200001		
J	LONG, SY								HAIR-NIBBLING AND WHISKER-TRIMMING AS INDICATORS OF SOCIAL HIERARCHY IN MICE								ANIMAL BEHAVIOUR				20	FEB			10	&		10.1016/S0003-3472(72)80167-2			1972	1972										49							WOS:A1972N633200002		
J	GOURLEY, EV								CIRCADIAN ACTIVITY RHYTHM OF GOPHER TORTOISE (GOPHERUS-POLYPHEMUS)								ANIMAL BEHAVIOUR				20	FEB			13	&		10.1016/S0003-3472(72)80168-4			1972	1972										8							WOS:A1972N633200003		
J	EWBANK, R; BRYANT, MJ								AGGRESSIVE BEHAVIOR AMONGST GROUPS OF DOMESTICATED PIGS KEPT AT VARIOUS STOCKING RATES								ANIMAL BEHAVIOUR				20	FEB			21	&		10.1016/S0003-3472(72)80169-6			1972	1972										89							WOS:A1972N633200004		
J	SHETTLEWORTH, SJ								ROLE OF NOVELTY IN LEARNED AVOIDANCE OF UNPALATABLE PREY BY DOMESTIC CHICKS(GALLUS-GALLUS)								ANIMAL BEHAVIOUR				20	FEB			29	+		10.1016/S0003-3472(72)80170-2			1972	1972										52							WOS:A1972N633200005		
J	FOSSEY, D								VOCALIZATIONS OF MOUNTAIN GORILLA (GORILLA-GORILLA-BERINGEI)								ANIMAL BEHAVIOUR				20	FEB			36	&		10.1016/S0003-3472(72)80171-4			1972	1972										85							WOS:A1972N633200006		
J	CARTER, CS								EFFECTS OF OLFACTORY EXPERIENCE ON BEHAVIOR OF GUINEA-PIG (CAVIA-PORCELLUS)								ANIMAL BEHAVIOUR				20	FEB			54	&		10.1016/S0003-3472(72)80172-6			1972	1972										31							WOS:A1972N633200007		
