PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Mondragon-Ceballos, R								Interfering in affiliations: sabotaging by stumptailed macaques, Macaca arctoides								ANIMAL BEHAVIOUR				62				1179	1187		10.1006/anbe.2001.1861			DEC 2001	2001										6							WOS:000173470300018		
J	Nowicki, S; Searcy, WA; Hughes, M; Podos, J								The evolution of bird song: male and female response to song innovation in swamp sparrows								ANIMAL BEHAVIOUR				62				1189	1195		10.1006/anbe.2001.1854			DEC 2001	2001										39							WOS:000173470300019		
J	Wilson, PL; Vehrencamp, SL								A test of the deceptive mimicry hypothesis in song-sharing song sparrows								ANIMAL BEHAVIOUR				62				1197	1205		10.1006/anbe.2001.1863			DEC 2001	2001										42							WOS:000173470300020		
J	Sturdy, CB; Phillmore, LS; Sartor, JJ; Weisman, RG								Reduced social contact causes auditory perceptual deficits in zebra finches, Taeniopygia guttata								ANIMAL BEHAVIOUR				62				1207	1218		10.1006/anbe.2001.1864			DEC 2001	2001										36							WOS:000173470300021		
J	Hart, BL; Hart, LA; McCoy, M; Sarath, CR								Cognitive behaviour in Asian elephants: use and modification of branches for fly switching								ANIMAL BEHAVIOUR				62				839	847		10.1006/anbe.2001.1815			NOV 2001	2001										62							WOS:000172719700002		
J	Judge, KA; Brooks, RJ								Chorus participation by male bullfrogs, Rana catesbeiana: a test of the energetic constraint hypothesis								ANIMAL BEHAVIOUR				62				849	861		10.1006/anbe.2001.1801			NOV 2001	2001										42							WOS:000172719700003		
J	Rohr, JR; Madison, DM								A chemically mediated trade-off between predation risk and mate search in newts								ANIMAL BEHAVIOUR				62				863	869		10.1006/anbe.2001.1816			NOV 2001	2001										46							WOS:000172719700004		
J	Gray, DA; Eckhardt, G								Is cricket courtship song condition dependent?								ANIMAL BEHAVIOUR				62				871	877		10.1006/anbe.2001.1825			NOV 2001	2001										56							WOS:000172719700005		
J	Franklin, WE; Lima, SL								Laterality in avian vigilance: do sparrows have a favourite eye?								ANIMAL BEHAVIOUR				62				879	885		10.1006/anbe.2001.1826			NOV 2001	2001										59							WOS:000172719700006		
J	Bukowski, TC; Linn, CD; Christenson, TE								Copulation and sperm release in Gasteracantha cancriformis (Araneae : Araneidae): differential male behaviour based on female mating history								ANIMAL BEHAVIOUR				62				887	895		10.1006/anbe.2001.1834			NOV 2001	2001										34							WOS:000172719700007		
J	Clark, MM; Galef, BG								Socially induced infertility: familial effects on reproductive development of female Mongolian gerbils								ANIMAL BEHAVIOUR				62				897	903		10.1006/anbe.2001.1827			NOV 2001	2001										26							WOS:000172719700008		
J	Harcourt, AH; Greenberg, J								Do gorilla females join males to avoid infanticide? A quantitative model								ANIMAL BEHAVIOUR				62				905	915		10.1006/anbe.2001.1835			NOV 2001	2001										38							WOS:000172719700009		
J	Day, RL; MacDonald, T; Brown, C; Laland, KN; Reader, SM								Interactions between shoal size and conformity in guppy social foraging								ANIMAL BEHAVIOUR				62				917	925		10.1006/anbe.2001.1820			NOV 2001	2001										104							WOS:000172719700010		
J	Cheney, KL; Cote, IM								Are Caribbean cleaning symbioses mutualistic? Costs and benefits of visiting cleaning stations to longfin damselfish								ANIMAL BEHAVIOUR				62				927	933		10.1006/anbe.2001.1832			NOV 2001	2001										36							WOS:000172719700011		
